image_path,caption
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14880_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14881_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14882_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14883_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14884_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14885_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14886_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14887_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14888_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14889_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14890_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14891_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14892_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14893_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14894_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14895_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14896_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14897_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14898_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14899_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_148_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14900_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14901_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14902_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14903_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14904_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14905_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14906_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14907_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14908_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14909_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14910_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14911_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14912_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14913_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14914_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14915_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14916_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14917_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14918_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14919_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14920_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14921_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14922_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14923_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14924_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14925_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14926_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14927_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14928_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14929_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14930_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14931_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14932_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14933_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14934_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14935_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14936_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14937_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14938_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14939_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14940_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14941_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14942_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14943_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14944_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14945_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14946_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14947_endo.png,"Laparoscopic view showing abdominal wall, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper."
