dataset,sequence_id,modality,frames_dir,num_frames,has_depth,has_mask,has_stereo,split,sample_frame,domain
Stereo_Lap,rectified22\rectified22\image02,rgbd,datasets/Stereo_Lap/rectified22/rectified22/image02,2016,True,False,False,test,datasets/Stereo_Lap/rectified22/rectified22/image02/0000000000.jpg,laparo
Stereo_Lap,rectified23\rectified23\image01,rgbd,datasets/Stereo_Lap/rectified23/rectified23/image01,11255,True,False,False,train,datasets/Stereo_Lap/rectified23/rectified23/image01/0000000000.jpg,laparo
Stereo_Lap,rectified23\rectified23\image02,rgbd,datasets/Stereo_Lap/rectified23/rectified23/image02,11255,True,False,False,test,datasets/Stereo_Lap/rectified23/rectified23/image02/0000000000.jpg,laparo
Stereo_Lap,rectified24\rectified24\image01,rgbd,datasets/Stereo_Lap/rectified24/rectified24/image01,3674,True,False,False,train,datasets/Stereo_Lap/rectified24/rectified24/image01/0000000000.jpg,laparo
Stereo_Lap,rectified24\rectified24\image02,rgbd,datasets/Stereo_Lap/rectified24/rectified24/image02,3674,True,False,False,train,datasets/Stereo_Lap/rectified24/rectified24/image02/0000000000.jpg,laparo
Stereo_Lap,rectified25\rectified25\image01,rgbd,datasets/Stereo_Lap/rectified25/rectified25/image01,2121,True,False,False,train,datasets/Stereo_Lap/rectified25/rectified25/image01/0000000000.jpg,laparo
Stereo_Lap,rectified25\rectified25\image02,rgbd,datasets/Stereo_Lap/rectified25/rectified25/image02,2121,True,False,False,train,datasets/Stereo_Lap/rectified25/rectified25/image02/0000000000.jpg,laparo
Stereo_Lap,rectified26\rectified26\image01,rgbd,datasets/Stereo_Lap/rectified26/rectified26/image01,3257,True,False,False,train,datasets/Stereo_Lap/rectified26/rectified26/image01/0000000000.jpg,laparo
Stereo_Lap,rectified26\rectified26\image02,rgbd,datasets/Stereo_Lap/rectified26/rectified26/image02,3257,True,False,False,train,datasets/Stereo_Lap/rectified26/rectified26/image02/0000000000.jpg,laparo
Stereo_Lap,rectified27\rectified27\image01,rgbd,datasets/Stereo_Lap/rectified27/rectified27/image01,2646,True,False,False,train,datasets/Stereo_Lap/rectified27/rectified27/image01/0000000000.jpg,laparo
Stereo_Lap,rectified27\rectified27\image02,rgbd,datasets/Stereo_Lap/rectified27/rectified27/image02,2646,True,False,False,train,datasets/Stereo_Lap/rectified27/rectified27/image02/0000000000.jpg,laparo
STIR,STIRChallenge_2024\02\left\seq05\frames\00078760ms-00081600ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/left/seq05/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/left/seq05/frames/00078760ms-00081600ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\left\seq08\frames\00095800ms-00102880ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/left/seq08/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/left/seq08/frames/00095800ms-00102880ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\left\seq09\frames\00104320ms-00105640ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/left/seq09/frames,-1,False,False,False,test,datasets/STIR/STIRChallenge_2024/02/left/seq09/frames/00104320ms-00105640ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\left\seq11\frames\00111280ms-00117000ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/left/seq11/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/left/seq11/frames/00111280ms-00117000ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\left\seq15\frames\00149160ms-00152040ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/left/seq15/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/left/seq15/frames/00149160ms-00152040ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\left\seq20\frames\00179400ms-00184040ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/left/seq20/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/left/seq20/frames/00179400ms-00184040ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\left\seq23\frames\00195800ms-00211800ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/left/seq23/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/left/seq23/frames/00195800ms-00211800ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\left\seq24\frames\00213000ms-00218200ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/left/seq24/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/left/seq24/frames/00213000ms-00218200ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\left\seq26\frames\00224760ms-00230960ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/left/seq26/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/left/seq26/frames/00224760ms-00230960ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\left\seq28\frames\00297680ms-00304720ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/left/seq28/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/left/seq28/frames/00297680ms-00304720ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\left\seq32\frames\00332600ms-00336880ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/left/seq32/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/left/seq32/frames/00332600ms-00336880ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\left\seq35\frames\00356880ms-00364440ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/left/seq35/frames,-1,False,False,False,test,datasets/STIR/STIRChallenge_2024/02/left/seq35/frames/00356880ms-00364440ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\right\seq05\frames\00078760ms-00081600ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/right/seq05/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/right/seq05/frames/00078760ms-00081600ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\right\seq08\frames\00095800ms-00102880ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/right/seq08/frames,-1,False,False,False,test,datasets/STIR/STIRChallenge_2024/02/right/seq08/frames/00095800ms-00102880ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\right\seq09\frames\00104320ms-00105640ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/right/seq09/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/right/seq09/frames/00104320ms-00105640ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\right\seq11\frames\00111280ms-00117000ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/right/seq11/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/right/seq11/frames/00111280ms-00117000ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\right\seq15\frames\00149160ms-00152040ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/right/seq15/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/right/seq15/frames/00149160ms-00152040ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\right\seq20\frames\00179400ms-00184040ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/right/seq20/frames,-1,False,False,False,test,datasets/STIR/STIRChallenge_2024/02/right/seq20/frames/00179400ms-00184040ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\right\seq23\frames\00195800ms-00211800ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/right/seq23/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/right/seq23/frames/00195800ms-00211800ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\right\seq24\frames\00213000ms-00218200ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/right/seq24/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/right/seq24/frames/00213000ms-00218200ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\right\seq26\frames\00224760ms-00230960ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/right/seq26/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/right/seq26/frames/00224760ms-00230960ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\right\seq28\frames\00297680ms-00304720ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/right/seq28/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/02/right/seq28/frames/00297680ms-00304720ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\right\seq32\frames\00332600ms-00336880ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/right/seq32/frames,-1,False,False,False,test,datasets/STIR/STIRChallenge_2024/02/right/seq32/frames/00332600ms-00336880ms-visible.mp4,laparo
STIR,STIRChallenge_2024\02\right\seq35\frames\00356880ms-00364440ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/02/right/seq35/frames,-1,False,False,False,test,datasets/STIR/STIRChallenge_2024/02/right/seq35/frames/00356880ms-00364440ms-visible.mp4,laparo
STIR,STIRChallenge_2024\03\left\seq00\frames\00417960ms-00420680ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/03/left/seq00/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/03/left/seq00/frames/00417960ms-00420680ms-visible.mp4,laparo
STIR,STIRChallenge_2024\03\left\seq02\frames\00468720ms-00475720ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/03/left/seq02/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/03/left/seq02/frames/00468720ms-00475720ms-visible.mp4,laparo
STIR,STIRChallenge_2024\03\left\seq05\frames\00509680ms-00530200ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/03/left/seq05/frames,-1,False,False,False,test,datasets/STIR/STIRChallenge_2024/03/left/seq05/frames/00509680ms-00530200ms-visible.mp4,laparo
STIR,STIRChallenge_2024\03\right\seq00\frames\00417960ms-00420680ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/03/right/seq00/frames,-1,False,False,False,test,datasets/STIR/STIRChallenge_2024/03/right/seq00/frames/00417960ms-00420680ms-visible.mp4,laparo
STIR,STIRChallenge_2024\03\right\seq02\frames\00468720ms-00475720ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/03/right/seq02/frames,-1,False,False,False,val,datasets/STIR/STIRChallenge_2024/03/right/seq02/frames/00468720ms-00475720ms-visible.mp4,laparo
STIR,STIRChallenge_2024\03\right\seq05\frames\00509680ms-00530200ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/03/right/seq05/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/03/right/seq05/frames/00509680ms-00530200ms-visible.mp4,laparo
STIR,STIRChallenge_2024\04\left\seq07\frames\01053360ms-01067880ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/04/left/seq07/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/04/left/seq07/frames/01053360ms-01067880ms-visible.mp4,laparo
STIR,STIRChallenge_2024\04\left\seq10\frames\01179560ms-01201680ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/04/left/seq10/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/04/left/seq10/frames/01179560ms-01201680ms-visible.mp4,laparo
STIR,STIRChallenge_2024\04\right\seq07\frames\01053360ms-01067880ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/04/right/seq07/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/04/right/seq07/frames/01053360ms-01067880ms-visible.mp4,laparo
STIR,STIRChallenge_2024\04\right\seq10\frames\01179560ms-01201680ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/04/right/seq10/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/04/right/seq10/frames/01179560ms-01201680ms-visible.mp4,laparo
STIR,STIRChallenge_2024\05\left\seq02\frames\00084840ms-00090280ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/05/left/seq02/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/05/left/seq02/frames/00084840ms-00090280ms-visible.mp4,laparo
STIR,STIRChallenge_2024\05\left\seq06\frames\00108120ms-00118680ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/05/left/seq06/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/05/left/seq06/frames/00108120ms-00118680ms-visible.mp4,laparo
STIR,STIRChallenge_2024\05\left\seq09\frames\00138800ms-00142440ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/05/left/seq09/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/05/left/seq09/frames/00138800ms-00142440ms-visible.mp4,laparo
STIR,STIRChallenge_2024\05\left\seq15\frames\00194600ms-00200440ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/05/left/seq15/frames,-1,False,False,False,val,datasets/STIR/STIRChallenge_2024/05/left/seq15/frames/00194600ms-00200440ms-visible.mp4,laparo
STIR,STIRChallenge_2024\05\left\seq16\frames\00201960ms-00204000ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/05/left/seq16/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/05/left/seq16/frames/00201960ms-00204000ms-visible.mp4,laparo
STIR,STIRChallenge_2024\05\left\seq24\frames\00259880ms-00264000ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/05/left/seq24/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/05/left/seq24/frames/00259880ms-00264000ms-visible.mp4,laparo
STIR,STIRChallenge_2024\05\left\seq30\frames\00308080ms-00312440ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/05/left/seq30/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/05/left/seq30/frames/00308080ms-00312440ms-visible.mp4,laparo
STIR,STIRChallenge_2024\05\left\seq33\frames\00327360ms-00332800ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/05/left/seq33/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/05/left/seq33/frames/00327360ms-00332800ms-visible.mp4,laparo
STIR,STIRChallenge_2024\05\left\seq39\frames\00374480ms-00380040ms-visible.mp4,video,datasets/STIR/STIRChallenge_2024/05/left/seq39/frames,-1,False,False,False,train,datasets/STIR/STIRChallenge_2024/05/left/seq39/frames/00374480ms-00380040ms-visible.mp4,laparo
